technique,qid,question,rank,store_score,cosine_sim,chunk_len,source,in_expected_source,latency_ms,preview
token,q3,Which team won the 2023-24 EFL Championship and were promoted as champions?,5,0.5635,0.5979,918,data/corpus/2023_24_efl_championship.txt,True,36.37,the EFL Championship under its current title and the 32nd season under its current league division format. Team changes [edit] The following teams have changed 
token,q4,At which stadium was the 2024-25 UEFA Champions League final played?,1,0.7091,0.7115,646,data/corpus/2024_25_uefa_champions_league.txt,True,37.12,"and 30 April, and the second legs were played on 6 and 7 May 2025. | Team 1 | Agg. Tooltip Aggregate score | Team 2 | 1st leg | 2nd leg | Arsenal | 1–3 | Paris "
token,q4,At which stadium was the 2024-25 UEFA Champions League final played?,2,0.6936,0.6561,1050,data/corpus/2024_25_uefa_champions_league.txt,True,37.12,Doué (Paris Saint-Germain) | ← 2023–24 2025–26 → International football competition The 2024–25 UEFA Champions League was the 70th season of Europe's premier cl
token,q4,At which stadium was the 2024-25 UEFA Champions League final played?,3,0.6854,0.698,215,data/corpus/2024_25_uefa_champions_league.txt,True,37.12,Commons has media related to 2024–25 UEFA Champions League. UEFA Champions League Season 2024/25 at uefa.com | v t e European Cup and UEFA Champions League | | 
token,q4,At which stadium was the 2024-25 UEFA Champions League final played?,4,0.6575,0.6386,889,data/corpus/2024_25_uefa_champions_league.txt,True,37.12,"UEFA. Union of European Football Associations. Retrieved 13 February 2025. ^ ""Julian Alvarez: The double-kick penalty controversy in shootout between Atletico M"
token,q4,At which stadium was the 2024-25 UEFA Champions League final played?,5,0.6118,0.6315,891,data/corpus/2024_25_uefa_champions_league.txt,True,37.12,"UEFA Women's Champions League 2024–25 UEFA Youth League References [edit] ^ ""Ousmane Dembélé named 2024/25 UEFA Champions League Player of the Season"". UEFA. Un"
token,q5,Which club won the 2024 MLS Supporters' Shield?,1,0.6828,0.6736,1067,data/corpus/2024_major_league_soccer_season.txt,True,40.64,Eastern and Western conferences. This was the first season since the 2016 season to have no new expansion teams joining MLS; San Diego FC joined the league in 2
token,q5,Which club won the 2024 MLS Supporters' Shield?,2,0.678,0.6424,948,data/corpus/2024_major_league_soccer_season.txt,True,40.64,U.S. Open Cup winners; (V) Canadian Championship winners Notes: ^ As 2024 MLS Supporters' Shield champions ^ As winners of Leagues Cup ^ As runners-up of League
token,q5,Which club won the 2024 MLS Supporters' Shield?,3,0.6375,0.5892,727,data/corpus/2024_major_league_soccer_season.txt,True,40.64,Chicago Fire FC | 34 | 7 | 18 | 9 | 40 | 62 | −22 | 30 | Qualification for the U.S. Open Cup Round of 32 | 29 | San Jose Earthquakes | 34 | 6 | 25 | 3 | 41 | 78
token,q5,Which club won the 2024 MLS Supporters' Shield?,4,0.616,0.5777,817,data/corpus/2024_major_league_soccer_season.txt,True,40.64,| 7 | 51 | 66 | −15 | 31 | 14 | San Jose Earthquakes | 34 | 6 | 25 | 3 | 41 | 78 | −37 | 21 Source: MLS Rules for classification: 1) points; 2) total wins; 3) t
token,q5,Which club won the 2024 MLS Supporters' Shield?,5,0.6087,0.5645,657,data/corpus/2024_major_league_soccer_season.txt,True,40.64,spot in Leagues Cup was given to San Diego FC. Overall table [edit] The leading team in this table won the Supporters' Shield. Overall MLS standings table | Pos
semantic,q1,Who were the champions of the 2023-24 Premier League?,1,0.5941,0.5837,996,data/corpus/2023_24_premier_league.txt,True,65.55,"Retrieved 14 May 2024. ^ ""Dates for 2023/24 season confirmed"" (Press release). London: The Football Association Premier League Limited. Retrieved 28 February 20"
semantic,q1,Who were the champions of the 2023-24 Premier League?,2,0.5639,0.517,20465,data/corpus/2023_24_premier_league.txt,True,65.55,"Football season in England For other uses, see 2023–24 Premier League (disambiguation). Football league season Premier League | Season | 2023–24 | Dates | 11 Au"
semantic,q1,Who were the champions of the 2023-24 Premier League?,3,0.5382,0.4834,1671,data/corpus/2023_24_premier_league.txt,True,65.55,"Archived from the original on 21 February 2020. Retrieved 1 July 2019. ^ ""Emirates and Arsenal Renew Sponsorship Deal"". London: Emirates. 19 February 2018. Arch"
semantic,q1,Who were the champions of the 2023-24 Premier League?,4,0.5344,0.525,1169,data/corpus/2023_24_premier_league.txt,True,65.55,"Sport UK. London. Archived from the original on 21 May 2021. Retrieved 10 April 2022. ^ ""AstroPay announces new Premier League partnership with Wolverhampton Wa"
semantic,q1,Who were the champions of the 2023-24 Premier League?,5,0.5331,0.5109,25735,data/corpus/2023_24_efl_championship.txt,False,65.55,Football league season EFL Championship | Season | 2023–24 | Dates | 4 August 2023 – 4 May 2024 | Champions | Leicester City 2nd Championship title 8th 2nd tier
semantic,q2,Which club won the 2023-24 La Liga title?,1,0.6716,0.6475,384,data/corpus/2023_24_la_liga.txt,True,79.95,"2 August 2022. Retrieved 27 April 2023. ^ ""EA SPORTS FC will be the title sponsor of all LaLiga competitions"". La Liga. 2 August 2022. Retrieved 14 May 2023. ^ "
semantic,q2,Which club won the 2023-24 La Liga title?,2,0.644,0.6107,482,data/corpus/2023_24_la_liga.txt,True,79.95,"Retrieved 4 July 2018. ^ ""LaLiga bate record histórico de asistencia a los estadios con más de 15 millones de espectadores"" (in Spanish). La Liga. 19 June 2023."
semantic,q2,Which club won the 2023-24 La Liga title?,3,0.5952,0.6046,7263,data/corpus/2023_24_la_liga.txt,True,79.95,93rd season of La Liga Football league season La Liga | Season | 2023–24 | Dates | 11 August 2023 – 26 May 2024 | Champions | Real Madrid 36th title | Relegated
semantic,q2,Which club won the 2023-24 La Liga title?,4,0.5939,0.5442,292,data/corpus/2023_24_la_liga.txt,True,79.95,"Retrieved 1 July 2019. ^ ""Facilities"". ^ ""Montilivi se prepara para la Primera División"" (in Spanish). 27 June 2022. Retrieved 21 June 2023. ^ ""Datos del Club"" "
semantic,q2,Which club won the 2023-24 La Liga title?,5,0.5796,0.5915,390,data/corpus/2023_24_la_liga.txt,True,79.95,"Retrieved 29 May 2022. ^ ""The Stadium"". Athletic Bilbao. Archived from the original on 14 April 2019. Retrieved 1 July 2019. ^ ""Club Atlético de Madrid - El afo"
semantic,q3,Which team won the 2023-24 EFL Championship and were promoted as champions?,1,0.561,0.1708,43,data/corpus/2023_24_efl_championship.txt,True,31.05,Archived from the original on 1 July 2021. 
semantic,q3,Which team won the 2023-24 EFL Championship and were promoted as champions?,2,0.5035,0.2075,15,data/corpus/2023_24_efl_championship.txt,True,31.05,17 April 2024. 
semantic,q3,Which team won the 2023-24 EFL Championship and were promoted as champions?,3,0.4947,0.4289,413,data/corpus/2023_24_efl_championship.txt,True,31.05,"Retrieved 8 April 2022. ^ ""Hull City 4–2 Sheffield Wednesday: Ozan Tufan hat-trick fires Tigers to victory"". BBC Sport. 12 August 2023. Retrieved 12 August 2023"
semantic,q3,Which team won the 2023-24 EFL Championship and were promoted as champions?,4,0.4899,0.4935,384,data/corpus/2023_24_la_liga.txt,False,31.05,"2 August 2022. Retrieved 27 April 2023. ^ ""EA SPORTS FC will be the title sponsor of all LaLiga competitions"". La Liga. 2 August 2022. Retrieved 14 May 2023. ^ "
semantic,q3,Which team won the 2023-24 EFL Championship and were promoted as champions?,5,0.4748,0.4668,8418,data/corpus/2023_24_efl_championship.txt,True,31.05,"9 April 2024. Retrieved 9 April 2024. ^ Aloia, Andrew (23 April 2024). ""Leicester City 5–0 Southampton: Leicester on brink of promotion after thumping Saints"". "
semantic,q4,At which stadium was the 2024-25 UEFA Champions League final played?,1,0.6709,0.6606,9591,data/corpus/2024_25_uefa_champions_league.txt,True,26.02,European football tournament 2024–25 UEFA Champions League | Allianz Arena in Munich hosted the final | Tournament details | Dates | Qualifying: 9 July – 28 Aug
semantic,q4,At which stadium was the 2024-25 UEFA Champions League final played?,2,0.6025,0.6001,162,data/corpus/2024_25_uefa_champions_league.txt,True,26.02,"Union of European Football Associations. 31 May 2025. Retrieved 31 May 2025. ^ ""Regulations of the UEFA Champions League, 2024/25 Season"". Nyon: UEFA.com. 2024."
semantic,q4,At which stadium was the 2024-25 UEFA Champions League final played?,3,0.5983,0.5753,368,data/corpus/2024_25_uefa_champions_league.txt,True,26.02,"10 July 2023. Archived from the original on 16 March 2024. Retrieved 11 December 2023. ^ ""UEFA Champions League: League phase draw"". UEFA.com. Union of European"
semantic,q4,At which stadium was the 2024-25 UEFA Champions League final played?,4,0.5818,0.5806,785,data/corpus/2024_25_uefa_champions_league.txt,True,26.02,"Union of European Football Associations. 1 June 2025. Retrieved 1 June 2025. ^ ""Désiré Doué named 2024/25 UEFA Champions League Young Player of the Season"". UEF"
semantic,q4,At which stadium was the 2024-25 UEFA Champions League final played?,5,0.5752,0.5499,241,data/corpus/2024_25_uefa_champions_league.txt,True,26.02,"Retrieved 27 August 2024. ^ ""UEFA Club Competitions 2024/25 onwards: new league phase draw procedures explained"". UEFA. 31 July 2024. Retrieved 31 July 2024. ^ "
semantic,q5,Which club won the 2024 MLS Supporters' Shield?,1,0.552,0.5224,169,data/corpus/2024_major_league_soccer_season.txt,True,36.49,"^ McCaskill, Steve (November 17, 2022). ""MLS clubs to promote Apple TV season pass with sleeve sponsorship"". SportsPro. Archived from the original on November 1"
semantic,q5,Which club won the 2024 MLS Supporters' Shield?,2,0.5436,0.5335,1742,data/corpus/2023_24_efl_championship.txt,False,36.49,"ESPN. Retrieved 4 August 2023. ^ ""Undefeated named Blues' new principal partner and sponsor"" (Press release). Birmingham: Birmingham City Football Club. 26 July"
semantic,q5,Which club won the 2024 MLS Supporters' Shield?,3,0.5314,0.4883,165,data/corpus/2024_major_league_soccer_season.txt,True,36.49,"Retrieved June 24, 2024. ^ Boehm, Charles (July 1, 2024). ""Team of the Matchday: Columbus trio leads the way, LA stars on song ahead of El Trafico"". mlssoccer.c"
semantic,q5,Which club won the 2024 MLS Supporters' Shield?,4,0.5299,0.506,384,data/corpus/2023_24_la_liga.txt,False,36.49,"2 August 2022. Retrieved 27 April 2023. ^ ""EA SPORTS FC will be the title sponsor of all LaLiga competitions"". La Liga. 2 August 2022. Retrieved 14 May 2023. ^ "
semantic,q5,Which club won the 2024 MLS Supporters' Shield?,5,0.522,0.475,145,data/corpus/2024_major_league_soccer_season.txt,True,36.49,"Archived from the original on February 21, 2024. Retrieved February 22, 2024. ^ ""MLS statement on new CBA for Match Officials"". March 26, 2024. "
sentence_window,q1,Who were the champions of the 2023-24 Premier League?,1,0.6417,0.5054,153,data/corpus/2023_24_premier_league.txt,True,188.15,Teams [edit] Twenty teams competed in the league – the top seventeen teams from the previous season and the three teams promoted from the Championship. 
sentence_window,q1,Who were the champions of the 2023-24 Premier League?,2,0.6102,0.1392,54,data/corpus/2023_24_premier_league.txt,True,188.15,Archived (PDF) from the original on 1 September 2023. 
sentence_window,q1,Who were the champions of the 2023-24 Premier League?,3,0.6098,0.554,175,data/corpus/2023_24_premier_league.txt,True,188.15,"They replaced Leicester City, Leeds United and Southampton, who were relegated to the Championship after respective spells of nine, three and eleven years in th"
sentence_window,q1,Who were the champions of the 2023-24 Premier League?,4,0.6095,0.6461,49,data/corpus/2023_24_premier_league.txt,True,188.15,^ Premier League Handbook: Season 2023/24 (PDF). 
sentence_window,q1,Who were the champions of the 2023-24 Premier League?,5,0.6059,0.1585,43,data/corpus/2023_24_premier_league.txt,True,188.15,Archived from the original on 21 May 2021. 
sentence_window,q2,Which club won the 2023-24 La Liga title?,1,0.6603,0.5824,90,data/corpus/2023_24_la_liga.txt,True,141.71,"Barcelona were the defending champions, having won their 27th title the previous season. "
sentence_window,q2,Which club won the 2023-24 La Liga title?,2,0.6476,0.5652,151,data/corpus/2023_24_la_liga.txt,True,141.71,"The third and final team relegated to Segunda was Valladolid, after a 0–0 draw against Getafe on 4 June 2023, ending their one year stay in top tier. "
sentence_window,q2,Which club won the 2023-24 La Liga title?,3,0.6448,0.5346,104,data/corpus/2023_24_la_liga.txt,True,141.71,"This included the two top teams from the Segunda División, and the winners of the promotion play-offs. "
sentence_window,q2,Which club won the 2023-24 La Liga title?,4,0.6225,0.5986,178,data/corpus/2023_24_la_liga.txt,True,141.71,"On 4 May 2024, Real Madrid were officially confirmed as champions with four matches to spare following Barcelona's 4–2 defeat to Girona, securing a record-exten"
sentence_window,q2,Which club won the 2023-24 La Liga title?,5,0.618,0.6193,155,data/corpus/2023_24_la_liga.txt,True,141.71,^ https://www.european-football-statistics.co.uk/attn/aveesp.htm External links [edit] Wikimedia Commons has media related to La Liga season 2023-2024. 
sentence_window,q3,Which team won the 2023-24 EFL Championship and were promoted as champions?,1,0.586,0.5347,54,data/corpus/2023_24_efl_championship.txt,True,128.8,"^ ""See who made the EFL Team of the Season line-ups"". "
sentence_window,q3,Which team won the 2023-24 EFL Championship and were promoted as champions?,2,0.5773,0.4376,157,data/corpus/2023_24_efl_championship.txt,True,128.8,Team changes [edit] The following teams have changed division since the 2022–23 season: ‹ The template below (Col-begin) is being considered for deletion. 
sentence_window,q3,Which team won the 2023-24 EFL Championship and were promoted as champions?,3,0.5663,0.1978,43,data/corpus/2023_24_efl_championship.txt,True,128.8,Archived from the original on 3 July 2022. 
sentence_window,q3,Which team won the 2023-24 EFL Championship and were promoted as champions?,4,0.5658,0.1889,45,data/corpus/2023_24_efl_championship.txt,True,128.8,Archived from the original on 10 July 2023. 
sentence_window,q3,Which team won the 2023-24 EFL Championship and were promoted as champions?,5,0.5613,0.1899,44,data/corpus/2023_24_efl_championship.txt,True,128.8,Archived from the original on 25 June 2021. 
sentence_window,q4,At which stadium was the 2024-25 UEFA Champions League final played?,1,0.7538,0.7705,130,data/corpus/2024_25_uefa_champions_league.txt,True,123.93,Final [edit] Main article: 2025 UEFA Champions League final The final was played on 31 May 2025 at the Allianz Arena in Munich. 
sentence_window,q4,At which stadium was the 2024-25 UEFA Champions League final played?,2,0.7089,0.6446,94,data/corpus/2024_25_uefa_champions_league.txt,True,123.93,External links [edit] Wikimedia Commons has media related to 2024–25 UEFA Champions League. 
sentence_window,q4,At which stadium was the 2024-25 UEFA Champions League final played?,3,0.6709,0.6751,1036,data/corpus/2024_25_uefa_champions_league.txt,True,123.93,European football tournament 2024–25 UEFA Champions League | Allianz Arena in Munich hosted the final | Tournament details | Dates | Qualifying: 9 July – 28 Aug
sentence_window,q4,At which stadium was the 2024-25 UEFA Champions League final played?,4,0.6684,0.6693,210,data/corpus/2024_25_uefa_champions_league.txt,True,123.93,The winners of the 2023–24 UEFA Champions League and 2023–24 UEFA Europa League were each given an additional entry if they did not qualify for the 2024–25 UEFA
sentence_window,q4,At which stadium was the 2024-25 UEFA Champions League final played?,5,0.6444,0.6285,347,data/corpus/2024_25_uefa_champions_league.txt,True,123.93,"As winners of the Champions League, Paris Saint-Germain automatically qualified for the 2025–26 UEFA Champions League league phase, the 2025 FIFA Intercontinent"
sentence_window,q5,Which club won the 2024 MLS Supporters' Shield?,1,0.7098,0.5766,82,data/corpus/2024_major_league_soccer_season.txt,True,155.91,Overall table [edit] The leading team in this table won the Supporters' Shield. 
sentence_window,q5,Which club won the 2024 MLS Supporters' Shield?,2,0.7096,0.6748,471,data/corpus/2024_major_league_soccer_season.txt,True,155.91,Open Cup winners; (V) Canadian Championship winners Notes: ^ As 2024 MLS Supporters' Shield champions ^ As winners of Leagues Cup ^ As runners-up of Leagues Cup
sentence_window,q5,Which club won the 2024 MLS Supporters' Shield?,3,0.6695,0.6307,113,data/corpus/2024_major_league_soccer_season.txt,True,155.91,The Columbus Crew were the reigning MLS Cup champions and FC Cincinnati were the Supporters' Shield holders; St. 
sentence_window,q5,Which club won the 2024 MLS Supporters' Shield?,4,0.6277,0.6449,51,data/corpus/2024_major_league_soccer_season.txt,True,155.91,"^ ""FC Cincinnati clinches MLS Supporters' Shield"". "
sentence_window,q5,Which club won the 2024 MLS Supporters' Shield?,5,0.5951,0.5165,134,data/corpus/2024_major_league_soccer_season.txt,True,155.91,"In their fifth season in the league, Inter Miami CF won the Supporters' Shield for the first time, earning a league-record 74 points. "
